words,sentiment
𝐤𝐢𝐲𝐚𝐲𝐞,POSITIVE
tsarewa,POSITIVE
yayafemana,POSITIVE
rahamah,POSITIVE
kakawomana,POSITIVE
yajiqansu,POSITIVE
daukih,POSITIVE
rahmarka,POSITIVE
karekii,POSITIVE
buda,POSITIVE
al jannah,POSITIVE
kiso,POSITIVE
mudafe,POSITIVE
alkharin,POSITIVE
hkuri,POSITIVE
lpya,POSITIVE
lahiya,POSITIVE
albakarci,POSITIVE
jagoranci,POSITIVE
mugode,POSITIVE
dachewansa,POSITIVE
dache,POSITIVE
nunamana,POSITIVE
yasadamu,POSITIVE
kubutar,POSITIVE
hakali,POSITIVE
tariga,POSITIVE
musanshi,POSITIVE
arzikinsu,POSITIVE
hadasu,POSITIVE
sulhu,POSITIVE
qarin,POSITIVE
walwalar,POSITIVE
hamdallah,POSITIVE
doraka,POSITIVE
gasken,POSITIVE
anbada,POSITIVE
shawarata,POSITIVE
kuzari,POSITIVE
nutsuwar,POSITIVE
rufawa,POSITIVE
ragawa,POSITIVE
karfice,POSITIVE
fidda,POSITIVE
kakeson,POSITIVE
jindadinku,POSITIVE
washe baki,POSITIVE
masalaha,POSITIVE
kanunawa,POSITIVE
bin bayansa,POSITIVE
sonku,POSITIVE
yapara,POSITIVE
dadinsa,POSITIVE
sukasha,POSITIVE
fasaharka,POSITIVE
zazzafan,POSITIVE
rahamsheshi,POSITIVE
haqqi,POSITIVE
cibagan,POSITIVE
NA,POSITIVE
